DATE,confirmed,death,released,candidate,negative,growth
2020-01-09,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0
2020-01-21,1,0,0,0,0,0.0001
2020-01-22,1,0,0,0,0,0
2020-01-23,1,0,0,0,0,0
2020-01-24,2,0,0,0,0,0.0001
2020-01-25,2,0,0,0,0,0
2020-01-26,2,0,0,0,0,0
2020-01-27,4,0,0,57,0,0.0002
2020-01-28,4,0,0,57,0,0
2020-01-29,4,0,0,183,0,0
2020-01-30,7,0,0,240,0,0.0003
2020-01-31,11,0,0,298,240,0.0004
2020-02-01,12,0,0,371,289,0.0001
2020-02-02,15,0,0,414,327,0.0003
2020-02-03,15,0,0,475,414,0
2020-02-04,16,0,0,591,462,0.0001
2020-02-05,21,0,1,696,522,0.0005
2020-02-06,24,0,2,862,693,0.0003
2020-02-07,24,0,2,1328,1001,0
2020-02-08,24,0,2,2073,1134,0
2020-02-09,27,0,3,2571,1683,0.0003
2020-02-10,27,0,4,3083,2552,0
2020-02-11,28,0,4,4297,3535,0.0001
2020-02-12,28,0,7,5596,4811,0
2020-02-13,28,0,7,6483,5921,0
2020-02-14,28,0,7,7214,6679,0
2020-02-15,28,0,9,7491,6853,0
2020-02-16,29,0,9,8132,7647,0.0001
2020-02-17,30,0,10,8688,7980,0.0001
2020-02-18,39,0,12,9741,8923,0.0009
2020-02-19,46,0,16,11122,9973,0.0007
2020-02-20,104,1,16,13098,11238,0.0058
2020-02-21,204,1,17,16196,13016,0.01
2020-02-22,433,3,18,21153,15116,0.0229
2020-02-23,608,6,18,22077,16038,0.0175
2020-02-24,843,7,22,31923,20292,0.0235
2020-02-25,977,10,22,35823,22550,0.0134
2020-02-26,1261,12,24,52292,31576,0.0284
2020-02-27,1766,13,26,64886,39318,0.0505
2020-02-28,2337,13,27,78830,48593,0.0571
2020-02-29,3150,17,28,90905,55723,0.0813
2020-03-01,3736,18,30,95185,61825,0.0586
2020-03-02,4212,22,31,105379,71580,0.0476
2020-03-03,4812,28,34,121039,85484,0.06
2020-03-04,5328,32,41,131379,102965,0.0516
2020-03-05,5766,35,88,140775,118965,0.0438
2020-03-06,6284,44,108,158456,136624,0.0518
2020-03-07,6767,44,118,171422,151802,0.0483
2020-03-08,7134,50,130,181384,162008,0.0367
2020-03-09,7382,51,166,189236,171778,0.0248
2020-03-10,7513,54,247,202631,184179,0.0131
2020-03-11,7755,60,288,214640,196100,0.0242
2020-03-12,7869,66,333,227129,209402,0.0114
2020-03-13,7979,67,510,240668,222728,0.011
2020-03-14,8086,72,714,253249,235615,0.0107
2020-03-15,8162,75,834,260050,243778,0.0076
2020-03-16,8236,75,1137,266268,251297,0.0074
2020-03-17,8320,81,1401,278396,261105,0.0084
2020-03-18,8413,84,1540,287234,270888,0.0093
2020-03-19,8565,91,1947,298459,282555,0.0152
2020-03-20,8652,94,2233,308012,292487,0.0087
2020-03-21,8799,102,2612,318710,303006,0.0147
2020-03-22,8897,104,2909,322883,308343,0.0098
2020-03-23,8961,111,3166,329075,315447,0.0064
2020-03-24,9037,120,3507,339545,324105,0.0076
2020-03-25,9137,126,3730,348759,334481,0.01
2020-03-26,9241,131,4144,355701,341332,0.0104
2020-03-27,9332,139,4528,367629,352410,0.0091
2020-03-28,9478,144,4811,378447,361883,0.0146
2020-03-29,9583,152,5033,384558,369530,0.0105
2020-03-30,9661,158,5228,385533,372002,0.0078
2020-03-31,9786,162,5408,400778,383886,0.0125
2020-04-01,9887,165,5567,411660,395075,0.0101
2020-04-02,9976,169,5828,421767,403882,0.0089
2020-04-03,10062,174,6021,433211,414303,0.0086
2020-04-04,10156,177,6325,444876,424732,0.0094
2020-04-05,10237,183,6463,450996,431425,0.0081
2020-04-06,10284,186,6598,456520,437225,0.0047
2020-04-07,10331,192,6694,466973,446323,0.0047
2020-04-08,10384,200,6776,475619,457761,0.0053
2020-04-09,10423,204,6973,484288,468779,0.0039
2020-04-10,10450,208,7117,492601,477303,0.0027
2020-04-11,10480,211,7243,499999,485929,0.003
2020-04-12,10512,214,7368,504109,490321,0.0032
2020-04-13,10537,217,7447,508206,494815,0.0025
2020-04-14,10564,222,7534,516874,502223,0.0027
2020-04-15,10591,225,7616,523961,508935,0.0027
2020-04-16,10613,229,7757,528162,513894,0.0022
2020-04-17,10635,230,7829,535828,521642,0.0022
2020-04-18,10653,232,7937,544181,530631,0.0018
2020-04-19,10661,234,8042,548448,536205,0.0008
2020-04-20,10674,236,8114,552361,540380,0.0013
2020-04-21,10683,237,8213,560331,547610,0.0009
2020-04-22,10694,238,8277,567265,555144,0.0011
2020-04-23,10702,240,8411,573269,563130,0.0008
2020-04-24,10708,240,8501,578812,569212,0.0006
2020-04-25,10718,240,8635,584443,575184,0.001
2020-04-26,10728,242,8717,587557,578558,0.001
2020-04-27,10738,243,8764,590922,582027,0.001
2020-04-28,10752,244,8854,597762,588559,0.0014
2020-04-29,10761,246,8922,603436,595129,0.0009
2020-04-30,10765,247,9059,609116,600482,0.0004
2020-05-01,10774,248,9072,612295,603610,0.0009
2020-05-02,10780,250,9123,616782,608286,0.0006
2020-05-03,10793,250,9183,620180,611592,0.0013
2020-05-04,10801,252,9217,623120,614944,0.0008
2020-05-05,10804,254,9283,629433,620575,0.0003
2020-05-06,10806,255,9333,632289,624280,0.0002
2020-05-07,10810,256,9419,638578,630149,0.0004
2020-05-08,10822,256,9484,644041,635174,0.0012
2020-05-09,10840,256,9568,649190,640037,0.0018
2020-05-10,10874,256,9610,653012,642884,0.0034
2020-05-11,10909,256,9632,657583,646661,0.0035
2020-05-12,10936,258,9670,669954,653624,0.0027
2020-05-13,10962,259,9695,684958,665379,0.0026
2020-05-14,10991,260,9762,700493,679771,0.0029
2020-05-15,11018,260,9821,715729,695854,0.0027
2020-05-16,11037,262,9851,730108,711265,0.0019
2020-05-17,11050,262,9888,736603,718943,0.0013
2020-05-18,11065,263,9904,742146,726053,0.0015
2020-05-19,11078,263,9938,754496,737571,0.0013
2020-05-20,11110,263,10066,765323,748972,0.0032
2020-05-21,11122,264,10135,777562,759473,0.0012
2020-05-22,11142,264,10162,791276,770990,0.002
2020-05-23,11165,266,10194,803255,781686,0.0023
2020-05-24,11190,266,10213,809099,788766,0.0025
2020-05-25,11206,267,10226,815231,796142,0.0016
2020-05-26,11225,269,10275,828250,806206,0.0019
2020-05-27,11265,269,10295,841611,820550,0.004
2020-05-28,11344,269,10340,857322,834952,0.0079
2020-05-29,11402,269,10363,873718,849161,0.0058
2020-05-30,11441,269,10398,891460,865162,0.0039
2020-05-31,11468,270,10405,899354,876060,0.0027
